Cittadinanza;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Afghanistan;22;25;23;20;29;28;23;21;13;13;12;12;7;0;12;13;9;9;9;9;9;10;9;10;3;3;11;15;23;31;60;104;101;165
Albania;34;30;28;27;31;28;26;23;22;20;19;19;62;0;242;338;438;531;837;1367;1576;2205;2997;3240;2861;3672;4273;4475;4529;4608;5012;5283;5441;5805
Algeria;76;86;127;147;143;139;142;136;74;81;88;102;56;0;218;239;235;251;316;452;478;519;594;548;378;450;520;549;574;599;631;667;667;678
Altre nazioni o n.d.;7578;7606;7722;7744;400;0;0;0;168;164;161;155;0;201;15;144;132;120;0;0;3;3;3;2;0;0;0;0;0;0;0;0;0;0
Andorra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Angola;3;1;1;1;2;3;3;3;1;1;2;8;20;0;25;28;30;29;33;37;41;39;53;61;53;54;50;46;46;41;45;44;45;52
Antigua e Barbuda;0;0;0;0;0;0;0;0;1;1;1;1;3;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Apolide;0;0;0;0;0;0;0;0;79;75;73;67;0;0;54;56;52;46;45;44;38;35;34;28;11;10;11;12;11;12;13;14;15;13
Arabia Saudita;7;7;9;10;11;8;8;7;7;7;7;7;6;0;4;4;4;4;5;4;5;5;5;5;1;1;2;3;3;3;3;3;2;3
Area Ex-Urss;33;31;40;36;71;75;81;88;46;59;63;80;151;0;194;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;224;237;262;299;386;383;375;361;376;401;411;501;412;601;572;569;565;541;545;572;577;585;626;654;418;506;552;571;552;525;543;582;618;661
Armenia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;9;12;14;12;12;21;22;25;25;26;36;42;46
Australia;51;58;64;57;80;86;95;85;85;88;93;88;53;0;109;111;118;124;129;135;136;147;156;154;79;95;106;114;114;121;121;126;145;148
Austria;503;505;466;447;558;526;512;501;542;547;529;531;282;506;495;507;502;499;492;533;529;527;543;518;324;326;341;334;325;341;365;365;361;378
Azerbaigian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;5;19;18;16;9;20;22;23;22;26;26;24;25
Bahama;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;1;1;2
Bangladesh;5;6;0;13;13;16;15;15;14;16;18;21;93;0;318;331;337;358;478;712;813;1120;1501;1526;1288;1993;2268;2447;2541;2676;3320;3863;4738;5988
Barbados;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;2;2;2;1;1
Belgio;123;111;115;130;236;243;241;243;252;249;246;252;131;0;270;284;302;312;339;350;360;376;408;404;230;246;276;268;277;288;298;306;310;319
Belize;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0
Benin (Dahomey);0;0;0;0;0;0;0;0;1;1;1;1;3;0;7;12;13;12;15;16;19;20;19;26;10;11;15;16;17;13;14;16;19;26
Bhutan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Bielorussia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;4;4;8;12;18;22;39;60;78;84;88;105;130;169;217
Bolivia;2;2;2;13;16;12;14;20;17;19;19;20;61;0;52;46;43;43;51;66;71;97;108;119;112;301;411;483;530;582;787;1206;1695;2028
Bosnia-Erzegovina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;41;110;137;153;172;181;219;241;249;160;197;219;236;246;242;243;241;228;290
Brasile;83;88;107;153;253;273;287;312;367;426;471;621;568;900;1022;1096;1173;1201;1347;1669;1707;1864;2035;2062;1530;1962;2580;2602;2612;2588;2867;3164;3498;3874
Bulgaria;22;22;26;29;97;98;104;110;81;90;91;93;79;0;147;166;180;213;257;355;404;546;626;649;559;819;915;973;1079;1193;1324;1490;1570;1786
Burkina Faso (Alto Volta);0;0;0;1;2;2;2;1;0;1;4;5;4;0;6;13;16;20;23;34;31;31;31;33;33;37;38;41;40;40;50;47;43;58
Burundi;4;6;7;9;9;9;9;9;7;10;10;9;8;0;12;12;16;15;17;23;22;28;26;25;15;15;16;16;15;13;13;11;11;11
Cambogia;1;1;1;3;3;3;3;3;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;10;7;0;0;1;0
Camerun;4;4;6;7;12;16;19;18;33;35;33;38;13;0;64;78;83;91;100;107;117;119;133;140;93;119;168;200;205;207;258;316;318;351
Canada;73;69;70;87;106;113;116;115;128;136;130;128;72;0;150;156;186;184;185;200;204;212;228;227;127;136;153;154;157;156;164;173;178;199
Capo Verde;3;5;23;40;44;57;64;66;65;69;71;78;45;0;81;92;108;114;115;124;131;142;162;170;145;174;192;203;199;197;194;194;190;187
Ceca, Rep.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;179;187;187;187;207;209;108;119;138;145;157;162;177;179;194;223
Cecoslovacchia;31;27;37;40;99;101;100;117;84;96;110;114;88;0;140;155;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Centrafricana Rep.;2;2;2;2;2;2;2;3;1;1;1;2;4;0;2;1;1;1;2;2;2;2;3;3;2;1;1;2;1;3;4;3;5;5
Ciad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;4;4;5;3;7;7;8;7;9;10;10;9;14
Cile;97;105;133;138;169;160;136;134;131;136;151;164;133;0;208;207;216;219;240;261;269;293;319;293;209;237;260;271;280;285;299;309;332;370
Cinese, Repubblica Popolare;166;152;194;278;456;500;531;580;1069;1508;1594;1892;983;2793;3079;3284;3576;3878;5038;6931;7516;8675;10296;10947;9301;11529;13110;14039;14736;15259;17201;18946;20852;23967
Cipro;12;15;22;29;38;43;43;43;38;39;44;45;17;0;44;47;47;46;46;47;50;51;55;51;9;10;10;10;10;10;15;15;17;22
Città del Vaticano;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Colombia;36;34;46;55;60;71;66;78;81;98;115;153;113;0;219;220;235;256;298;338;369;458;550;593;528;831;951;948;936;907;992;1024;1085;1174
Comore;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Congo;2;2;2;2;2;2;2;4;7;7;7;8;12;0;61;20;21;27;30;29;34;43;67;77;75;99;123;126;143;130;126;116;115;119
Congo, Rep. Dem. (Zaire);15;25;28;31;36;34;29;33;21;20;22;24;18;0;0;50;46;58;71;84;85;87;88;81;53;65;75;78;82;83;100;101;101;103
Corea, Rep. Pop. Dem. (Corea del Nord);1;2;1;1;1;1;1;1;4;4;4;4;26;0;5;5;5;4;3;3;3;3;3;3;0;3;3;4;4;4;4;4;4;5
Corea, Repubblica (Corea del Sud);73;71;91;107;107;127;135;147;166;180;192;239;136;0;311;2;426;459;504;574;599;636;706;726;375;400;458;475;494;516;564;583;637;700
Costa d'Avorio;22;25;31;35;38;41;34;42;44;50;55;63;53;0;120;125;120;134;189;240;246;253;263;239;189;210;231;237;233;240;257;277;268;351
Costarica;1;1;1;2;7;8;6;7;9;10;11;12;8;0;15;13;14;15;18;23;22;21;20;19;8;10;15;15;14;13;12;12;13;18
Croazia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;176;306;345;385;440;458;457;492;459;350;374;414;406;408;392;393;403;404;480
Cuba;9;14;17;20;24;22;22;24;17;19;15;19;15;0;42;50;67;87;114;179;220;279;352;393;335;399;491;514;507;514;582;613;658;726
Danimarca;55;55;58;50;62;67;65;67;77;82;94;94;60;0;131;146;159;163;183;199;198;214;211;201;104;109;118;117;118;121;133;149;154;154
Dominica;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;22;27;23;18;15;13;10;8;9;7;7;5;5;5;7;7;7
Dominicana, Repubblica;10;11;15;15;25;28;26;25;41;64;75;97;86;0;182;211;265;274;352;517;564;641;735;764;649;723;807;842;847;844;980;1047;1107;1209
Ecuador;8;8;9;13;14;16;17;18;23;34;34;60;71;0;97;108;149;203;441;751;1101;2006;2714;3157;4163;10518;12356;12680;12348;12137;12884;13542;14232;14909
Egitto;706;873;1237;1658;2201;2498;2687;2798;3167;3574;3829;4536;2934;6360;6834;7325;7473;8154;9439;11075;11842;13309;15581;15670;13020;18529;20992;22137;22934;23518;25838;28643;31999;35970
El Salvador;38;49;99;154;203;247;278;303;431;494;507;632;430;859;941;1035;1127;1163;1278;1501;1568;1751;1926;1933;1796;2273;2497;2556;2553;2562;2739;3133;3720;4268
Emirati Arabi Uniti;3;3;0;3;3;5;5;5;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eritrea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;317;438;658;849;1106;1379;1582;1646;1500;1706;1988;2138;2316;2356;2510;2585;2498;2518
Estonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;3;6;7;8;14;12;21;30;31;35;37;40;45;47;54
Etiopia;567;731;1106;1320;1448;1596;1676;1699;1796;1888;1926;1982;1101;2164;2233;2257;2034;1939;1769;1743;1471;1299;1229;1109;544;590;615;617;665;661;713;747;727;750
Filippine;16;25;125;203;284;434;519;589;985;1317;1551;2086;2474;4524;5388;5907;6505;7550;10715;14967;16472;18685;20456;21213;19725;24081;26645;27586;28031;28749;31123;33745;37002;39858
Finlandia;21;18;22;29;31;31;36;36;42;47;52;64;72;0;62;66;82;89;99;113;115;124;153;147;93;97;111;114;115;119;124;124;126;133
Francia;646;663;684;696;1685;1673;1667;1676;2098;2195;2284;2353;1419;2563;2725;2919;3136;3179;3350;3776;3905;4156;4554;4527;2518;2625;3059;3223;3332;3485;3763;3868;4031;4238
Gabon;0;0;0;0;0;0;0;4;2;2;2;3;1;0;3;3;2;2;2;3;4;4;4;4;1;3;3;4;4;5;3;4;4;5
Gambia;4;4;5;5;6;8;4;3;3;3;3;2;7;0;9;9;11;14;26;63;75;121;133;121;62;78;88;94;99;106;116;132;132;149
Georgia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;8;10;13;20;17;20;40;46;48;52;89;143;187;263
Germania;1292;1284;1281;1264;2232;2176;2097;2071;2151;2164;2210;2228;1278;2229;2210;2241;2259;2255;2332;2533;2524;2553;2672;2529;1611;1702;1831;1903;1932;1955;2042;2057;2109;2120
Ghana;12;13;14;16;17;16;16;13;13;17;16;24;21;0;102;107;101;107;111;126;131;133;145;136;106;114;125;113;115;96;121;132;132;177
Giamaica;5;5;6;5;9;9;9;10;5;6;5;6;7;0;8;8;9;10;12;13;14;14;14;15;9;10;14;12;13;12;16;15;15;14
Giappone;497;558;691;771;925;967;964;959;1133;1283;1390;1506;1255;1760;1888;1974;2054;2078;2223;2337;2376;2383;2582;2602;1507;1592;1790;1857;1919;1967;2088;2135;2206;2344
Gibuti;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Giordania;32;38;59;84;84;96;111;131;158;166;168;187;91;0;236;245;233;236;249;268;266;267;279;272;151;182;183;177;175;178;180;175;169;183
Grecia;466;545;611;650;857;857;859;820;920;947;965;982;306;1019;1050;1065;1066;1040;1060;1111;1126;1149;1170;1072;379;390;395;411;413;432;458;485;504;561
Grenada;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guatemala;5;8;13;10;11;10;11;13;12;16;14;14;10;0;17;20;20;18;19;22;22;21;28;27;21;28;32;33;34;35;36;39;49;57
Guinea;8;15;16;18;18;10;10;9;14;17;19;24;14;0;29;32;30;33;42;52;55;59;70;66;54;62;72;78;88;93;90;104;89;110
Guinea Bissau;0;0;0;0;0;0;0;0;0;1;1;1;2;0;1;1;1;1;2;1;1;4;4;6;5;5;4;7;6;6;9;13;12;12
Guinea Equatoriale;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guyana;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haiti;12;14;20;24;36;32;32;30;29;29;29;30;6;0;28;30;29;28;30;32;35;34;35;28;8;10;8;9;9;10;7;7;9;10
Honduras;0;1;1;1;2;0;0;0;1;4;5;4;8;0;5;5;4;2;2;5;5;6;6;8;7;14;15;15;16;18;20;38;52;65
India;128;139;159;161;173;182;186;175;176;189;199;217;139;0;287;317;331;338;360;428;453;496;568;540;420;502;618;652;668;698;794;879;972;1118
Indonesia;7;11;15;26;32;29;29;35;19;23;25;26;29;0;37;38;44;46;51;60;63;73;83;89;75;74;89;90;86;89;100;106;111;129
Iran;788;837;975;1038;1103;1069;1041;1030;1125;1122;1127;1135;497;1094;1065;1050;1007;968;942;976;969;943;930;855;414;443;469;497;511;486;545;616;696;965
Iraq;53;58;66;77;82;85;87;83;76;76;75;74;30;0;75;74;73;71;73;72;74;77;78;73;28;28;45;47;59;63;82;83;79;67
Irlanda;47;55;66;61;70;70;72;69;80;94;111;129;73;0;207;224;238;247;259;286;302;318;354;332;151;161;183;189;197;207;213;224;243;252
Islanda;0;0;0;0;2;2;2;2;2;6;5;5;8;0;8;6;7;7;7;8;10;13;18;17;15;16;19;22;23;24;29;33;32;32
