Cittadinanza;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Israele;394;436;527;571;687;665;657;658;910;941;940;963;360;992;1020;1032;955;931;922;957;968;960;970;918;375;379;421;448;454;465;463;463;461;487
Jugoslavia (Serbia-Montenegro);471;463;494;507;868;853;835;835;832;920;943;1024;1255;1232;1384;1608;1726;1747;1768;1824;1802;1824;1895;1799;987;1045;1143;1147;1149;1126;0;0;0;0
Kazakistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;12;13;18;17;14;15;22;31;32;48;67;72;75;87
Kenya;16;16;17;17;19;16;19;22;10;11;12;14;20;0;26;31;36;41;46;51;55;73;77;80;63;71;81;88;88;97;108;121;130;149
Kirghizistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5;9;9;11;13;21
Kosovo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;24;44;210
Kuwait;0;0;0;0;0;0;0;0;0;0;2;2;1;0;2;2;2;2;2;4;4;4;4;5;3;3;4;4;4;4;4;4;4;4
Laos;0;0;0;1;1;1;1;2;0;0;0;0;15;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;2;1;1;1;1;1
Lesotho;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lettonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;7;11;11;16;22;23;27;47;58;63;80;91;103;118;144
Libano;299;309;372;372;382;383;411;418;378;383;385;390;237;0;430;438;422;401;387;391;370;348;370;346;195;209;220;219;222;223;213;206;225;239
Liberia;0;0;0;0;0;0;0;0;4;4;4;4;2;0;3;6;5;5;5;5;7;7;8;9;7;10;23;29;28;28;25;26;30;31
Libia;177;176;194;205;215;214;213;214;150;140;137;125;35;0;126;125;95;93;102;106;106;104;111;92;37;51;58;71;81;80;86;80;92;104
Liechtenstein;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0
Lituania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;5;8;11;14;15;22;29;45;53;64;77;105;120;149;177
Lussemburgo;2;2;2;3;12;8;8;9;17;14;15;15;16;0;17;17;15;15;18;18;21;20;15;18;11;9;9;7;8;9;10;12;11;11
Macedonia, ex Rep. Jugoslava;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;29;51;16;15;66;83;108;117;93;119;152;160;173;161;159;164;166;178
Madagascar;7;6;8;9;9;10;15;13;6;7;5;5;11;0;0;12;11;13;13;15;14;15;16;16;12;12;13;14;12;12;12;12;13;17
Malawi;0;0;0;0;0;0;0;0;0;0;0;0;10;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
Malaysia;4;7;9;12;13;18;13;12;12;16;14;17;7;0;28;30;25;28;31;35;34;35;36;38;21;27;32;34;35;31;30;31;34;39
Maldive;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Mali;0;0;0;0;0;0;0;0;1;2;3;5;6;0;16;17;16;14;17;22;25;31;31;28;27;28;31;37;39;42;43;40;51;111
Malta;12;12;12;16;18;16;18;21;21;22;22;25;15;0;26;27;24;22;26;21;21;23;20;22;18;16;21;25;27;31;25;27;32;38
Marocco;116;123;131;146;193;218;230;229;421;526;556;1195;600;2791;3037;3230;3294;3612;4401;5253;5497;5849;6328;5948;4514;5308;6067;6450;6663;6749;7140;7618;8071;8720
Mauritania;0;0;0;0;0;0;0;0;0;0;0;2;18;0;3;3;0;0;2;3;5;6;8;6;4;5;5;9;9;10;13;23;26;31
Maurizio;7;9;24;37;47;52;63;63;86;112;128;162;222;0;395;455;498;532;611;767;860;988;1124;1173;1122;1225;1284;1304;1311;1292;1299;1319;1349;1387
Messico;29;35;48;50;55;62;65;60;82;90;86;99;85;0;144;155;159;148;148;158;164;179;192;196;121;145;170;186;176;172;194;212;250;275
Moldavia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;11;16;41;78;145;255;855;1151;1279;1264;1454;1917;2394;2971;3377
Monaco;1;1;1;2;2;2;2;2;0;0;0;0;9;0;1;1;1;1;1;1;1;1;1;1;0;0;0;2;2;2;2;2;2;2
Mongolia;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;2;2;2;2;3;4;5;7;4;8;7;6;6;6;8;8;16;20
Montenegro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;14;28;168
Mozambico;1;2;3;3;5;4;5;5;6;8;7;9;3;0;11;10;10;10;9;9;8;11;12;12;5;5;8;9;9;9;8;7;7;7
Myanmar (Birmania);1;1;1;6;6;6;7;7;1;1;1;1;1;0;4;4;8;8;8;9;9;10;9;8;6;5;7;7;6;6;8;10;11;19
Namibia;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nepal;0;0;0;0;0;2;2;2;3;4;6;6;6;0;7;9;10;12;14;17;17;17;25;24;22;32;41;42;46;47;54;61;66;84
Nicaragua;1;1;2;2;2;3;4;5;8;9;10;10;15;0;14;14;15;16;18;18;17;17;17;17;13;19;23;19;19;18;21;25;34;38
Niger;0;0;0;0;0;0;0;0;1;1;1;1;3;0;1;2;2;2;5;4;4;4;4;3;3;6;8;10;9;9;12;12;12;22
Nigeria;15;20;20;36;46;47;47;48;53;55;57;60;23;0;79;83;84;91;137;209;225;335;406;421;315;351;388;380;395;394;404;454;466;554
Norvegia;9;10;10;7;17;17;20;24;25;26;27;31;35;0;39;47;48;49;50;59;62;66;82;85;53;56;63;63;67;67;69;77;79;77
Nuova Zelanda;8;9;9;7;14;13;16;17;13;14;11;13;19;0;18;17;17;16;14;14;19;21;22;25;17;21;23;23;26;26;26;25;24;24
Oman;1;1;1;1;1;1;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paesi Bassi;132;136;134;129;246;239;237;230;282;306;332;374;216;0;417;432;428;444;453;495;502;536;569;556;332;336;376;376;385;415;437;446;442;486
Pakistan;13;14;15;14;21;23;24;24;48;70;84;109;115;0;371;384;374;399;472;597;644;751;907;912;635;739;832;872;899;889;950;1037;1120;1317
Panama;12;12;14;15;14;14;16;14;11;13;13;14;10;0;44;44;43;45;43;44;43;49;45;41;22;22;27;24;25;22;22;25;26;30
Paraguay;0;0;0;1;2;3;3;4;7;6;8;8;6;0;13;16;13;14;14;21;22;27;29;30;22;22;28;29;32;34;39;46;67;84
Perù;16;20;23;30;80;76;80;86;125;162;176;361;584;716;961;1110;1357;1838;3425;5820;6655;7965;9036;9381;9051;12638;13784;14204;14070;14103;15586;17672;19655;21142
Polonia;121;124;135;142;252;262;272;274;186;195;204;196;123;0;265;282;290;289;299;373;391;436;492;495;378;514;675;741;805;877;996;1062;1132;1193
Portogallo;54;58;77;83;94;103;104;104;119;141;146;166;123;0;337;367;385;383;409;437;444;448;488;454;278;293;323;323;342;373;420;422;445;486
Regno Unito;893;934;996;1026;1822;1810;1808;1817;2132;2244;2284;2359;1077;2572;2655;2707;2710;2670;2761;2937;3007;3039;3240;3093;1500;1563;1702;1750;1781;1810;1933;1960;2056;2136
Romania;214;234;282;302;334;350;363;348;189;199;193;218;150;0;442;484;541;592;734;1018;1204;1752;2260;2493;2627;4621;5536;5951;7908;9619;11244;12154;12701;14409
Ruanda;13;12;14;15;15;15;13;11;11;11;11;11;1;0;12;13;17;18;19;22;26;25;26;27;8;8;12;13;19;18;24;22;17;20
Russa, Federazione;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;281;262;407;462;524;643;670;580;737;896;968;951;982;1072;1166;1340;1627
Saint Kitts e Nevis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Saint Lucia;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salomone;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
San Marino;97;97;89;80;87;85;84;78;80;80;74;72;51;0;70;68;61;57;53;55;55;53;48;49;47;46;47;43;43;44;44;45;42;42
Sao Tomè e Principe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
Seicelle;14;21;31;39;49;51;48;50;63;79;81;86;47;0;96;93;94;98;96;100;98;103;111;104;69;73;70;64;63;63;56;56;58;61
Senegal;8;12;13;16;17;21;19;18;69;94;94;264;164;595;668;686;684;723;1148;1571;1655;2002;2144;1966;1310;1696;1791;1835;1780;1729;1785;1904;2124;2385
Serbia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1112;1102;1033;654
Sierra Leone;10;13;17;19;19;21;23;19;18;19;22;26;21;0;35;36;40;37;39;36;33;39;44;46;33;36;39;46;45;47;43;48;41;42
Singapore;0;0;0;0;5;6;8;10;6;8;6;7;10;0;11;12;14;15;17;16;16;18;18;15;12;16;16;14;15;18;24;24;24;25
Siria;153;168;181;186;194;198;193;177;110;117;114;109;91;0;157;158;158;159;179;202;208;223;254;252;196;231;266;288;292;287;294;319;330;363
Slovacchia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;12;16;24;39;59;66;88;115;124;137;148;154;159;172;179
Slovenia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;20;19;23;22;27;28;31;30;26;19;18;22;23;30;34;51;59;60;75
Somalia;58;62;75;84;88;91;93;94;119;127;144;167;233;0;610;735;848;903;947;1109;1214;1264;1278;1197;453;466;477;473;466;447;456;542;503;497
Spagna;273;287;326;333;602;621;611;610;766;875;928;957;536;1104;1168;1222;1266;1290;1359;1494;1515;1580;1783;1772;1070;1190;1357;1437;1488;1555;1678;1788;1915;2093
Sri Lanka (Ceylon);12;22;42;76;96;142;175;209;308;377;455;635;686;1224;1585;1940;2362;2676;3457;4624;5195;6118;7219;7860;7138;8701;9872;10318;10600;11087;12348;13340;14512;16125
Stati Uniti d'America;512;509;515;550;1281;1297;1305;1344;1643;1638;1623;1677;850;1771;1802;1846;1826;1748;1785;1831;1826;1850;1948;1877;815;872;948;984;1012;1030;1065;1105;1150;1237
Sud Africa;45;54;53;51;62;59;61;57;45;48;47;46;21;0;46;47;47;40;40;39;40;41;44;45;26;28;31;36;36;33;37;40;31;39
Sudan;16;16;16;19;23;19;20;20;25;25;24;22;17;0;41;45;46;45;48;55;63;67;75;60;51;55;66;113;147;121;112;122;106;123
Suriname;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Svezia;84;92;85;93;137;127;130;125;139;142;143;150;87;0;161;191;202;198;213;242;254;274;319;324;194;213;245;258;275;286;307;322;339;352
Svizzera;1673;1641;1572;1529;2294;2205;2119;2024;2028;1993;1953;1895;1020;1772;1719;1686;1631;1572;1561;1549;1496;1464;1469;1384;883;860;866;861;843;823;841;828;816;808
Swaziland;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tagikistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;5;5;5;7;7;6;3;4;7;7;9;9
Taiwan (Formosa);27;30;39;44;65;66;75;76;77;75;77;79;22;0;92;93;120;119;44;35;131;135;142;126;32;31;44;49;54;55;64;67;71;77
Tanzania;2;8;9;10;10;9;10;10;11;6;6;8;6;0;9;13;13;10;11;14;14;15;16;13;10;10;10;13;13;14;16;16;16;18
Territori Autonomia Palestinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;3;4;10;21;25;25;24;32;41;48;43
Thailandia;7;7;9;21;23;26;26;26;35;37;37;38;38;0;62;57;59;57;61;74;76;83;97;93;67;74;97;102;118;129;147;167;186;221
Togo;5;6;6;5;6;6;7;6;6;6;6;2;3;0;8;9;9;10;12;16;19;21;27;36;41;70;110;160;139;123;119;129;118;118
Trinidad e Tobago;5;3;3;4;4;3;3;3;5;4;4;6;5;0;9;10;11;12;12;12;12;12;12;14;4;4;5;5;5;6;6;7;6;6
Tunisia;95;101;119;123;158;153;154;148;208;242;274;374;299;818;903;961;970;987;1082;1214;1229;1314;1441;1393;970;1164;1294;1372;1411;1468;1532;1592;1627;1757
Turchia;116;124;147;161;599;601;583;561;510;526;542;566;324;696;722;764;745;739;805;934;946;994;1112;1096;790;924;1021;1034;1055;1038;1061;1118;1172;1295
Turkmenistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;1;1;1;4;4;6;6;4;4;4;5;4;5
Tuvalu;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ucraina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;20;46;68;132;241;309;567;2092;2955;3492;3631;3918;4788;5728;6913;7820
Uganda;4;3;4;8;10;7;3;1;1;1;1;1;7;0;3;4;6;6;7;10;8;11;9;9;6;8;7;12;14;15;14;14;13;13
Ungheria;158;158;162;165;203;201;203;202;171;177;167;154;78;0;156;166;161;165;169;168;163;180;187;184;98;112;132;144;156;167;186;192;205;220
Uruguay;82;86;91;93;89;89;83;76;106;116;114;175;125;0;208;213;208;208;215;243;239;251;272;252;129;149;173;167;177;168;178;180;193;207
Uzbekistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;5;6;9;9;11;16;15;18;19;16;19;25;21;30
Venezuela;76;76;78;104;123;104;106;106;96;91;87;91;83;0;123;122;124;129;135;157;170;204;231;228;164;206;236;252;241;248;283;303;316;358
Vietnam;49;54;61;70;79;73;74;67;46;46;45;41;18;0;43;45;40;38;4;4;27;28;30;23;5;8;9;10;16;14;23;24;24;22
Yemen;1;1;1;1;1;1;1;1;4;4;4;5;3;0;6;6;6;6;6;6;6;6;6;7;3;3;3;4;4;4;4;4;5;1
Zambia;4;5;5;5;5;2;2;3;2;2;3;3;0;0;3;3;3;3;3;3;3;3;3;2;1;1;1;1;2;5;5;4;6;8
Zimbabwe (Rhodesia);4;2;2;3;4;4;4;4;0;0;0;0;4;0;1;2;1;2;3;3;3;3;3;2;0;1;2;2;2;3;5;6;5;9
